Timestamp,Age,Gender,City,Position,Years of experience,Level,Salary (EUR),Employment status,Сontract duration,Main language at work,Company size,Company type,Lost job due to the coronavirus outbreak,Age category,Years of experience category,Salary (EUR) category
24/11/2020 11:40:04,28.0,Male,Berlin,Software Engineer,3.0,Middle,55000.0,Full-time employee,Unlimited contract,English,10-50,Startup,No,"[20,30)",<5,"[50000,100000)"
24/11/2020 11:40:05,29.0,Male,Konstanz area,Mobile Developer,6.0,Middle,53000.0,Full-time employee,Unlimited contract,English,10-50,Startup,No,"[20,30)","[5,10)","[50000,100000)"
24/11/2020 11:40:24,36.0,Male,Munich,Backend Developer,15.0,Senior,55000.0,Full-time employee,Unlimited contract,English,1000+,Product,No,"[30,40)","[10,20)","[50000,100000)"
24/11/2020 11:40:42,39.0,Male,Berlin,Software Engineer,10.0,Senior,75000.0,Full-time employee,Unlimited contract,German,1000+,Consulting / Agency,No,"[30,40)","[10,20)","[50000,100000)"
24/11/2020 11:40:45,29.0,Male,Munich,Software Engineer,7.0,Senior,80000.0,Full-time employee,Unlimited contract,English,1000+,Product,No,"[20,30)","[5,10)","[50000,100000)"
24/11/2020 11:42:49,31.0,Male,Berlin,Engineering Manager,11.0,Lead,80000.0,Full-time employee,Unlimited contract,English,100-1000,Startup,No,"[30,40)","[10,20)","[50000,100000)"
24/11/2020 11:43:28,30.0,Male,Berlin,Backend Developer,5.0,Middle,55000.0,Full-time employee,Unlimited contract,English,1000+,Product,No,"[30,40)","[5,10)","[50000,100000)"
24/11/2020 11:43:34,30.0,Male,Munich,DevOps,8.0,Middle,70200.0,Full-time employee,Unlimited contract,English,1000+,Product,No,"[30,40)","[5,10)","[50000,100000)"
24/11/2020 11:43:49,33.0,Male,Frankfurt,Software Engineer,4.0,Middle,50000.0,Full-time employee,Unlimited contract,English,10-50,Consulting / Agency,No,"[30,40)",<5,"[50000,100000)"
24/11/2020 11:44:00,27.0,Male,Berlin,Software Engineer,5.0,Senior,78000.0,Full-time employee,Unlimited contract,English,1000+,Startup,No,"[20,30)","[5,10)","[50000,100000)"
24/11/2020 11:44:02,26.0,Female,Munich,Data Scientist,6.0,Middle,60000.0,Full-time employee,Unlimited contract,English,1000+,Product,No,"[20,30)","[5,10)","[50000,100000)"
24/11/2020 11:44:10,26.0,Male,Berlin,Software Engineer,8.0,Lead,85000.0,Full-time employee,Unlimited contract,English,1000+,Product,No,"[20,30)","[5,10)","[50000,100000)"
24/11/2020 11:44:18,31.0,Female,Berlin,Analytics engineer,6.0,Middle,60000.0,Full-time employee,Unlimited contract,English,100-1000,Startup,No,"[30,40)","[5,10)","[50000,100000)"
24/11/2020 11:44:34,30.0,Male,Berlin,Software Engineer,10.0,Senior,72000.0,Full-time employee,Unlimited contract,English,100-1000,Product,No,"[30,40)","[10,20)","[50000,100000)"
24/11/2020 11:44:51,38.0,Male,Berlin,Localization producer,17.0,Middle,68500.0,Full-time employee,Unlimited contract,English,1000+,Product,No,"[30,40)","[10,20)","[50000,100000)"
24/11/2020 11:44:59,43.0,Male,Berlin,Mobile Developer,5.0,Senior,72000.0,Full-time employee,Unlimited contract,English,1000+,Product,No,"[40,50)","[5,10)","[50000,100000)"
24/11/2020 11:45:28,33.0,Male,Berlin,Software Engineer,5.0,Middle,65000.0,Full-time employee,Unlimited contract,English,100-1000,Product,No,"[30,40)","[5,10)","[50000,100000)"
24/11/2020 11:45:31,31.0,Male,Berlin,Software Engineer,9.0,Senior,60000.0,Full-time employee,Unlimited contract,English,10-50,Startup,No,"[30,40)","[5,10)","[50000,100000)"
24/11/2020 11:46:15,32.0,Female,Berlin,QA Engineer,10.0,Senior,61000.0,Full-time employee,Unlimited contract,English,100-1000,Product,No,"[30,40)","[10,20)","[50000,100000)"
24/11/2020 11:46:16,24.0,Male,Berlin,Data Scientist,4.0,Senior,73000.0,Full-time employee,Unlimited contract,English,100-1000,Startup,No,"[20,30)",<5,"[50000,100000)"
24/11/2020 11:46:21,29.0,Male,Berlin,DevOps,7.0,Lead,78000.0,Full-time employee,Unlimited contract,English,100-1000,Product,No,"[20,30)","[5,10)","[50000,100000)"
24/11/2020 11:46:42,29.0,Male,Berlin,Data Scientist,4.0,Senior,81000.0,Full-time employee,Unlimited contract,English,100-1000,Product,No,"[20,30)",<5,"[50000,100000)"
24/11/2020 11:46:48,30.0,Male,Munich,Hardware Engineer,5.0,Senior,75000.0,Full-time employee,Unlimited contract,English,100-1000,Product,No,"[30,40)","[5,10)","[50000,100000)"
24/11/2020 11:48:46,35.0,Female,Berlin,Reporting Engineer,3.0,Middle,55000.0,Full-time employee,Unlimited contract,German,1000+,Product,No,"[30,40)",<5,"[50000,100000)"
24/11/2020 11:48:57,27.0,Female,Hamburg,Account Managet,6.0,Senior,50000.0,Full-time employee,Temporary contract,English,100-1000,Product,No,"[20,30)","[5,10)","[50000,100000)"
24/11/2020 11:49:06,32.0,Female,Berlin,Product Manager,8.0,Other,55000.0,Full-time employee,Unlimited contract,German,10-50,Consulting / Agency,No,"[30,40)","[5,10)","[50000,100000)"
24/11/2020 11:49:42,33.0,Male,Munich,QA Engineer,5.0,Senior,60000.0,Full-time employee,Unlimited contract,English,1000+,Product,No,"[30,40)","[5,10)","[50000,100000)"
24/11/2020 11:50:04,28.0,Male,Berlin,Software Engineer,8.0,Lead,80000.0,Full-time employee,Unlimited contract,English,100-1000,Product,No,"[20,30)","[5,10)","[50000,100000)"
24/11/2020 11:50:47,31.0,Female,Munich,agile master ,14.0,Middle,80000.0,Full-time employee,Unlimited contract,German,1000+,Product,No,"[30,40)","[10,20)","[50000,100000)"
24/11/2020 11:50:51,32.0,Male,Munich,Software Engineer,7.0,Senior,60000.0,Full-time employee,Unlimited contract,English,50-100,Product,No,"[30,40)","[5,10)","[50000,100000)"
24/11/2020 11:50:52,30.0,Male,Berlin,Backend Developer,8.0,Senior,80000.0,Full-time employee,Unlimited contract,English,1000+,Product,No,"[30,40)","[5,10)","[50000,100000)"
24/11/2020 11:50:56,26.0,Male,Munich,Backend Developer,7.0,Senior,78000.0,Full-time employee,Unlimited contract,English,100-1000,Product,No,"[20,30)","[5,10)","[50000,100000)"
24/11/2020 11:51:35,31.0,Male,Munich,Software Engineer,10.0,Senior,68000.0,Full-time employee,Unlimited contract,English,1000+,Product,No,"[30,40)","[10,20)","[50000,100000)"
24/11/2020 11:52:49,38.0,Female,Munich,QA Engineer,6.0,Middle,62000.0,Full-time employee,Unlimited contract,English,1000+,Product,No,"[30,40)","[5,10)","[50000,100000)"
24/11/2020 11:53:56,37.0,Male,Berlin,Software Engineer,10.0,Senior,55000.0,Full-time employee,Unlimited contract,English,10-50,Startup,No,"[30,40)","[10,20)","[50000,100000)"
24/11/2020 11:54:06,25.0,Male,Munich,Software Engineer,3.0,Middle,62000.0,Full-time employee,Unlimited contract,English,100-1000,Product,No,"[20,30)",<5,"[50000,100000)"
24/11/2020 11:54:18,36.0,Male,Berlin,Frontend Developer,12.0,Senior,72000.0,Full-time employee,Unlimited contract,English,up to 10,Startup,No,"[30,40)","[10,20)","[50000,100000)"
24/11/2020 11:54:32,27.0,Male,Munich,QA Engineer,5.0,Senior,58000.0,Full-time employee,Unlimited contract,English,1000+,Product,No,"[20,30)","[5,10)","[50000,100000)"
24/11/2020 11:55:06,35.0,Male,Frankfurt,ML Engineer,12.0,Senior,120000.0,Full-time employee,Unlimited contract,English,1000+,Product,No,"[30,40)","[10,20)","[100000,150000)"
24/11/2020 11:55:07,37.0,Male,Munich,Software Engineer,15.0,Senior,75000.0,Full-time employee,Unlimited contract,German,100-1000,Product,No,"[30,40)","[10,20)","[50000,100000)"
24/11/2020 11:55:33,26.0,Male,Munich,Data Scientist,3.0,Middle,65000.0,Full-time employee,Unlimited contract,English,100-1000,Product,No,"[20,30)",<5,"[50000,100000)"
24/11/2020 11:55:57,33.0,Male,Frankfurt,Solution Architect,6.0,Middle,85000.0,Full-time employee,Unlimited contract,English,1000+,Product,No,"[30,40)","[5,10)","[50000,100000)"
24/11/2020 11:56:00,34.0,Male,Berlin,Frontend Developer,7.0,Senior,65000.0,Full-time employee,Unlimited contract,English,up to 10,Startup,No,"[30,40)","[5,10)","[50000,100000)"
24/11/2020 11:56:05,33.0,Male,Berlin,Backend Developer,12.0,Lead,65000.0,Full-time employee,Unlimited contract,English,100-1000,Product,No,"[30,40)","[10,20)","[50000,100000)"
24/11/2020 11:56:25,,Male,Berlin,QA Engineer,6.0,Middle,50000.0,Full-time employee,Unlimited contract,English,100-1000,Product,No,Unknown,"[5,10)","[50000,100000)"
24/11/2020 11:56:47,29.0,Male,Berlin,Backend Developer,8.0,Senior,72000.0,Full-time employee,Unlimited contract,English,100-1000,Startup,No,"[20,30)","[5,10)","[50000,100000)"
24/11/2020 11:56:56,24.0,Male,Munich,Software Engineer,5.0,Middle,79000.0,Full-time employee,Unlimited contract,English,1000+,Product,No,"[20,30)","[5,10)","[50000,100000)"
24/11/2020 11:57:37,28.0,Female,Munich,QA Engineer,6.0,Middle,65000.0,Full-time employee,Unlimited contract,English,1000+,Product,No,"[20,30)","[5,10)","[50000,100000)"
24/11/2020 11:57:53,30.0,Female,Berlin,Software Engineer,8.0,Senior,75000.0,Full-time employee,Unlimited contract,English,100-1000,Product,No,"[30,40)","[5,10)","[50000,100000)"
24/11/2020 11:57:55,28.0,Male,Cologne,BI Consultant,8.0,Senior,60000.0,Full-time employee,Unlimited contract,English,up to 10,Consulting / Agency,No,"[20,30)","[5,10)","[50000,100000)"
24/11/2020 11:58:24,31.0,Male,Munich,Backend Developer,11.0,Senior,80000.0,Full-time employee,Unlimited contract,English,1000+,Product,No,"[30,40)","[10,20)","[50000,100000)"
24/11/2020 11:59:14,28.0,Male,Munich,Mobile Developer,5.0,Senior,57000.0,Full-time employee,Unlimited contract,English,1000+,Product,No,"[20,30)","[5,10)","[50000,100000)"
24/11/2020 11:59:20,32.0,Female,Kempten,Fullstack Developer,10.0,Middle,49000.0,Full-time employee,Unlimited contract,English,50-100,Product,No,"[30,40)","[10,20)","[20000,50000)"
24/11/2020 11:59:33,28.0,Male,Berlin,Software Engineer,6.0,Senior,65000.0,Full-time employee,Unlimited contract,English,10-50,Startup,No,"[20,30)","[5,10)","[50000,100000)"
24/11/2020 11:59:38,26.0,Female,Munich,Data Scientist,3.0,Junior,70000.0,Full-time employee,Unlimited contract,English,1000+,Product,No,"[20,30)",<5,"[50000,100000)"
24/11/2020 12:00:01,33.0,Male,Berlin,Mobile Developer,6.0,Middle,63000.0,Full-time employee,Unlimited contract,English,100-1000,Product,No,"[30,40)","[5,10)","[50000,100000)"
24/11/2020 12:00:20,41.0,Male,Munich,Product Manager,18.0,Middle,72000.0,Full-time employee,Unlimited contract,English,1000+,Product,No,"[40,50)","[10,20)","[50000,100000)"
24/11/2020 12:00:59,31.0,Male,Berlin,Software Engineer,9.0,Senior,60000.0,Full-time employee,Unlimited contract,English,10-50,Startup,No,"[30,40)","[5,10)","[50000,100000)"
24/11/2020 12:01:01,30.0,Male,Munich,Frontend Developer,6.0,Senior,75000.0,Full-time employee,Unlimited contract,English,50-100,Product,No,"[30,40)","[5,10)","[50000,100000)"
24/11/2020 12:01:59,31.0,Male,Berlin,Frontend Developer,8.0,Senior,70000.0,Full-time employee,Unlimited contract,English,100-1000,Startup,No,"[30,40)","[5,10)","[50000,100000)"
24/11/2020 12:02:04,37.0,Male,Munich,Backend Developer,12.0,Senior,62000.0,Full-time employee,Unlimited contract,English,100-1000,Product,No,"[30,40)","[10,20)","[50000,100000)"
24/11/2020 12:04:10,30.0,Male,Berlin,Software Engineer,10.0,Lead,78000.0,Full-time employee,Unlimited contract,English,100-1000,Startup,No,"[30,40)","[10,20)","[50000,100000)"
24/11/2020 12:04:15,34.0,Male,Munich,Unknown,17.0,Lead,120000.0,Full-time employee,Unlimited contract,German,1000+,Consulting / Agency,No,"[30,40)","[10,20)","[100000,150000)"
24/11/2020 12:06:20,25.0,Male,Munich,Backend Developer,5.0,Senior,75000.0,Full-time employee,Unlimited contract,English,100-1000,Product,No,"[20,30)","[5,10)","[50000,100000)"
24/11/2020 12:06:41,36.0,Male,Berlin,Backend Developer,19.0,Senior,69000.0,Full-time employee,Unlimited contract,English,100-1000,Product,No,"[30,40)","[10,20)","[50000,100000)"
24/11/2020 12:06:58,40.0,Male,Berlin,Frontend Developer,7.0,Middle,54000.0,Full-time employee,Unlimited contract,English,10-50,Product,No,"[40,50)","[5,10)","[50000,100000)"
24/11/2020 12:07:16,37.0,Male,Berlin,Product Manager,6.0,Middle,62000.0,Full-time employee,Unlimited contract,German,100-1000,Product,No,"[30,40)","[5,10)","[50000,100000)"
24/11/2020 12:07:26,35.0,Male,Munich,Software Engineer,13.0,Senior,80000.0,Full-time employee,Unlimited contract,English,100-1000,Product,No,"[30,40)","[10,20)","[50000,100000)"
24/11/2020 12:07:43,42.0,Male,Berlin,Software Engineer,20.0,Senior,80000.0,Full-time employee,Unlimited contract,German,50-100,Product,No,"[40,50)","[20,30)","[50000,100000)"
24/11/2020 12:07:44,34.0,Male,Berlin,QA Engineer,10.0,Senior,75000.0,Full-time employee,Unlimited contract,English,100-1000,Startup,No,"[30,40)","[10,20)","[50000,100000)"
24/11/2020 12:07:47,30.0,Male,Berlin,Backend Developer,6.0,Senior,75000.0,Full-time employee,Unlimited contract,English,100-1000,Product,No,"[30,40)","[5,10)","[50000,100000)"
24/11/2020 12:08:51,35.0,Male,Berlin,Software Engineer,12.0,Senior,70000.0,Full-time employee,Unlimited contract,English,1000+,Product,No,"[30,40)","[10,20)","[50000,100000)"
24/11/2020 12:09:03,34.0,Male,Munich,Cloud Architect,10.0,Senior,120000.0,Full-time employee,Unlimited contract,English,1000+,Other,No,"[30,40)","[10,20)","[100000,150000)"
24/11/2020 12:09:06,35.0,Male,Berlin,Designer (UI/UX),10.0,Senior,70000.0,Full-time employee,Unlimited contract,English,50-100,Product,No,"[30,40)","[10,20)","[50000,100000)"
24/11/2020 12:09:31,35.0,Male,Berlin,System Administrator,14.0,Middle,44000.0,Full-time employee,Temporary contract,English,100-1000,Startup,No,"[30,40)","[10,20)","[20000,50000)"
24/11/2020 12:09:50,28.0,Male,Hamburg,Software Engineer,7.0,Senior,80000.0,Full-time employee,Unlimited contract,English,100-1000,Product,No,"[20,30)","[5,10)","[50000,100000)"
24/11/2020 12:09:55,26.0,Male,Münster,Data Scientist,5.5,Junior,48000.0,Full-time employee,Unlimited contract,German,1000+,Product,No,"[20,30)","[5,10)","[20000,50000)"
24/11/2020 12:10:03,35.0,Male,Berlin,Frontend Developer,4.0,Middle,50000.0,Full-time employee,Unlimited contract,English,100-1000,Product,No,"[30,40)",<5,"[50000,100000)"
