Timestamp,Age,Gender,City,Level,Position,Years of experience,Main technology or programming language,Salary (EUR),Main language at work,Company size,Company type,Сontract duration,Age category,Years of experience category,Salary (EUR) category
02/12/2019 11:49:02,35.0,Male,Berlin,Middle,Data Engineer,10,Java,70000.0,English,100-1000,Product,Unlimited contract,"[30,40)","[10,20)","[50000,100000)"
02/12/2019 11:49:03,27.0,Male,Berlin,Senior,Backend Developer,10,PHP,60000.0,English,50-100,Startup,Unlimited contract,"[20,30)","[10,20)","[50000,100000)"
02/12/2019 11:50:47,38.0,Female,Berlin,Senior,Manager,10,Javascript / Typescript,85000.0,English,10-50,Startup,Unlimited contract,"[30,40)","[10,20)","[50000,100000)"
02/12/2019 11:51:31,31.0,Male,Berlin,Middle,Backend Developer,2,Java,62000.0,English,1000+,Product,Unlimited contract,"[30,40)",<5,"[50000,100000)"
02/12/2019 11:51:56,29.0,Male,Düsseldorf,Senior,Backend Developer,9,Java,75000.0,English,1000+,Product,Unlimited contract,"[20,30)","[5,10)","[50000,100000)"
02/12/2019 11:52:36,30.0,Male,Wolfsburg,Senior,Backend Developer,4,Java,75000.0,English,50-100,Consulting / Agency,Unlimited contract,"[30,40)",<5,"[50000,100000)"
02/12/2019 11:53:51,30.0,Male,Berlin,Middle,Backend Developer,3,Ruby,61000.0,English,100-1000,Startup,Unlimited contract,"[30,40)",<5,"[50000,100000)"
02/12/2019 11:54:30,31.0,Male,Berlin,Senior,Fullstack Developer,12,Javascript / Typescript,80000.0,English,1000+,Product,Unlimited contract,"[30,40)","[10,20)","[50000,100000)"
02/12/2019 11:57:08,33.0,Male,Cologne,Senior,Backend Developer,10,.NET,60000.0,German,10-50,Startup,Unlimited contract,"[30,40)","[10,20)","[50000,100000)"
02/12/2019 12:01:48,31.0,Male,Munich,Senior,Frontend Developer,7,Javascript / Typescript,56600.0,German,1000+,Consulting / Agency,Unlimited contract,"[30,40)","[5,10)","[50000,100000)"
02/12/2019 12:02:15,30.0,Male,Munich,Lead,Data Scientist,8,Python,81000.0,English,10-50,Startup,Unlimited contract,"[30,40)","[5,10)","[50000,100000)"
02/12/2019 12:02:42,28.0,Male,Berlin,Senior,Data Scientist,4,Python,75000.0,English,100-1000,Startup,Unlimited contract,"[20,30)",<5,"[50000,100000)"
02/12/2019 12:03:44,,Male,Berlin,Senior,Data Scientist,6,Python,80000.0,English,1000+,Product,Temporary contract,Unknown,"[5,10)","[50000,100000)"
02/12/2019 12:05:28,27.0,Male,Munich,Senior,Mobile Developer,5,Kotlin,72000.0,English,100-1000,Consulting / Agency,Unlimited contract,"[20,30)","[5,10)","[50000,100000)"
02/12/2019 12:07:58,31.0,Female,MA,Senior,"Designer (UI, UX)",10,Unknown,61000.0,German,10-50,Product,Unlimited contract,"[30,40)","[10,20)","[50000,100000)"
02/12/2019 12:08:04,28.0,Male,Berlin,Middle,Machine Learning Engineer,6,Python,61000.0,English,100-1000,Startup,Unlimited contract,"[20,30)","[5,10)","[50000,100000)"
02/12/2019 12:08:31,36.0,Female,Munich,Senior,Backend Developer,13,Python,76000.0,English,50-100,Startup,Unlimited contract,"[30,40)","[10,20)","[50000,100000)"
02/12/2019 12:11:31,28.0,Male,Munich,Senior,Mobile Developer,8,Swift,75000.0,English,10-50,Startup,Unlimited contract,"[20,30)","[5,10)","[50000,100000)"
02/12/2019 12:11:37,37.0,Male,Berlin,Senior,Localization,15,Not Relevant,60000.0,English,1000+,Product,Unlimited contract,"[30,40)","[10,20)","[50000,100000)"
02/12/2019 12:13:02,40.0,Male,Berlin,Senior,Manager,15,Not Relevant,70000.0,English,100-1000,Product,Unlimited contract,"[40,50)","[10,20)","[50000,100000)"
02/12/2019 12:14:19,34.0,Male,Berlin,Senior,Support,9,PHP,60000.0,English,100-1000,Product,Unlimited contract,"[30,40)","[5,10)","[50000,100000)"
02/12/2019 12:16:09,,Male,Berlin,Senior,Backend Developer,12,Java,150000.0,English,1000+,Product,Unlimited contract,Unknown,"[10,20)","[150000,200000)"
02/12/2019 12:18:34,27.0,Female,Berlin,Middle,Data Scientist,3,Python,66000.0,English,100-1000,Startup,Unlimited contract,"[20,30)",<5,"[50000,100000)"
02/12/2019 12:23:45,30.0,Male,Munich,Senior,Mobile Developer,8,Swift,60000.0,English,1000+,Product,Unlimited contract,"[30,40)","[5,10)","[50000,100000)"
02/12/2019 12:24:08,32.0,Male,Berlin,Senior,Backend Developer,11,PHP,65000.0,English,50-100,Product,Unlimited contract,"[30,40)","[10,20)","[50000,100000)"
02/12/2019 12:24:55,23.0,Male,Berlin,Middle,Data Scientist,3,Python,50000.0,English,50-100,Startup,Unlimited contract,"[20,30)",<5,"[50000,100000)"
02/12/2019 12:27:11,35.0,Male,Munich,Senior,Embedded Developer,12,C/C++,78000.0,English,100-1000,Consulting / Agency,Unlimited contract,"[30,40)","[10,20)","[50000,100000)"
02/12/2019 12:28:29,30.0,Male,Munich,Middle,DevOps,10,AWS,80000.0,English,50-100,Product,Unlimited contract,"[30,40)","[10,20)","[50000,100000)"
02/12/2019 12:28:59,40.0,Male,Munich,Senior,Mobile Developer,12,Swift,113000.0,English,10-50,Product,Unlimited contract,"[40,50)","[10,20)","[100000,150000)"
02/12/2019 12:31:11,27.0,Male,Munich,Senior,Backend Developer,5,Java,70000.0,English,100-1000,Consulting / Agency,Temporary contract,"[20,30)","[5,10)","[50000,100000)"
02/12/2019 12:39:00,36.0,Male,Berlin,Senior,Backend Developer,14,Java,73000.0,English,100-1000,Product,Unlimited contract,"[30,40)","[10,20)","[50000,100000)"
02/12/2019 12:39:31,36.0,Male,Berlin,Lead,Manager,15,PHP,80000.0,English,1000+,Product,Unlimited contract,"[30,40)","[10,20)","[50000,100000)"
02/12/2019 12:40:08,31.0,Male,Berlin,Senior,Fullstack Developer,9,Python,64000.0,English,10-50,Startup,Unlimited contract,"[30,40)","[5,10)","[50000,100000)"
02/12/2019 12:42:34,26.0,Male,Munich,Middle,QA,3,Ruby,58000.0,English,50-100,Product,Unlimited contract,"[20,30)",<5,"[50000,100000)"
02/12/2019 12:43:59,26.0,Male,Munich,Junior,Fullstack Developer,2,Java,60000.0,English,100-1000,Product,Unlimited contract,"[20,30)",<5,"[50000,100000)"
02/12/2019 12:45:44,32.0,Female,Berlin,Senior,Backend Developer,12,.NET,96000.0,English,1000+,Product,Temporary contract,"[30,40)","[10,20)","[50000,100000)"
02/12/2019 12:53:59,38.0,Male,Berlin,Senior,Backend Developer,18,Not Relevant,75000.0,English,100-1000,Product,Unlimited contract,"[30,40)","[10,20)","[50000,100000)"
02/12/2019 12:54:44,29.0,Male,Munich,Senior,Backend Developer,10,Ruby,55000.0,English,100-1000,Product,Unlimited contract,"[20,30)","[10,20)","[50000,100000)"
02/12/2019 12:56:07,30.0,Male,Berlin,Lead,Data Scientist,6,Python,115000.0,English,1000+,Startup,Unlimited contract,"[30,40)","[5,10)","[100000,150000)"
02/12/2019 12:59:36,26.0,Male,Munich,Middle,QA,6,Python,65000.0,English,1000+,Product,Unlimited contract,"[20,30)","[5,10)","[50000,100000)"
02/12/2019 13:02:11,30.0,Male,Munich,Middle,DevOps,10,AWS,80000.0,English,1000+,Product,Unlimited contract,"[30,40)","[10,20)","[50000,100000)"
02/12/2019 13:03:05,32.0,Male,Berlin,Middle,Mobile Developer,7,Swift,66000.0,English,1000+,Unknown,Unlimited contract,"[30,40)","[5,10)","[50000,100000)"
02/12/2019 13:03:53,35.0,Male,Munich,Senior,DevOps,16,Yaml,72000.0,German,1000+,Consulting / Agency,Unlimited contract,"[30,40)","[10,20)","[50000,100000)"
02/12/2019 13:05:07,35.0,Male,Berlin,Senior,Frontend Developer,11,Javascript / Typescript,72000.0,English,50-100,Product,Unlimited contract,"[30,40)","[10,20)","[50000,100000)"
02/12/2019 13:12:06,38.0,Male,Berlin,Middle,DevOps,7,AWS,67000.0,English,1000+,Startup,Unlimited contract,"[30,40)","[5,10)","[50000,100000)"
02/12/2019 13:13:53,36.0,Male,Munich,Senior,Backend Developer,14,PHP,70000.0,German,100-1000,Product,Unlimited contract,"[30,40)","[10,20)","[50000,100000)"
02/12/2019 13:14:01,,Female,Munich,Middle,QA,5,Java,62000.0,English,1000+,Product,Unlimited contract,Unknown,"[5,10)","[50000,100000)"
02/12/2019 13:16:12,30.0,Male,Berlin,Senior,QA,9,Java,67500.0,English,100-1000,Product,Unlimited contract,"[30,40)","[5,10)","[50000,100000)"
02/12/2019 13:21:36,33.0,Male,Berlin,Senior,QA,8,Java,75000.0,English,100-1000,Startup,Unlimited contract,"[30,40)","[5,10)","[50000,100000)"
02/12/2019 13:23:36,31.0,Male,Frankfurt,Middle,System Administrator,10,"Linux-Stack, Networking",56300.0,English,10-50,Consulting / Agency,Unlimited contract,"[30,40)","[10,20)","[50000,100000)"
02/12/2019 13:27:02,37.0,Male,Berlin,Lead,Backend Developer,12,Java,89570.0,English,1000+,Product,Unlimited contract,"[30,40)","[10,20)","[50000,100000)"
02/12/2019 13:30:29,,Female,Berlin,Middle,Product Manager,3,Unknown,60000.0,English,50-100,Startup,Unknown,Unknown,<5,"[50000,100000)"
02/12/2019 13:33:23,27.0,Male,Berlin,Middle,Manager,2,Unknown,52000.0,English,100-1000,Product,Unlimited contract,"[20,30)",<5,"[50000,100000)"
02/12/2019 13:33:33,36.0,Male,Berlin,Middle,Support,19,Azure,36000.0,English,100-1000,Startup,Temporary contract,"[30,40)","[10,20)","[20000,50000)"
02/12/2019 13:34:49,39.0,Female,Hamburg,Middle,Backend Developer,2,Ruby,55000.0,German,100-1000,Product,Unlimited contract,"[30,40)",<5,"[50000,100000)"
02/12/2019 13:37:05,36.0,Male,Berlin,Senior,Manager,14,Python,95000.0,English,10-50,Unknown,Unlimited contract,"[30,40)","[10,20)","[50000,100000)"
02/12/2019 13:37:07,33.0,Male,Berlin,Senior,Backend Developer,10,.NET,60000.0,English,10-50,Product,Unlimited contract,"[30,40)","[10,20)","[50000,100000)"
02/12/2019 13:41:41,30.0,Male,Berlin,Middle,Frontend Developer,7,Javascript / Typescript,56500.0,English,100-1000,Product,Unlimited contract,"[30,40)","[5,10)","[50000,100000)"
02/12/2019 13:46:31,32.0,Male,Berlin,Senior,Backend Developer,12,PHP,68000.0,English,50-100,Product,Unlimited contract,"[30,40)","[10,20)","[50000,100000)"
02/12/2019 13:50:08,,Male,Berlin,Middle,Backend Developer,3,Elixir,74000.0,English,10-50,Consulting / Agency,Unlimited contract,Unknown,<5,"[50000,100000)"
02/12/2019 13:50:39,43.0,Male,Berlin,Senior,QA,8,Not Relevant,80000.0,English,10-50,Startup,Unlimited contract,"[40,50)","[5,10)","[50000,100000)"
02/12/2019 13:51:12,29.0,Male,Berlin,Senior,Backend Developer,7,PHP,69000.0,English,1000+,Product,Unlimited contract,"[20,30)","[5,10)","[50000,100000)"
02/12/2019 13:51:36,,Male,Hamburg,Senior,SAP Consultant,20,Not Relevant,80000.0,German,1000+,Consulting / Agency,Temporary contract,Unknown,"[20,30)","[50000,100000)"
02/12/2019 13:52:27,29.0,Male,Berlin,Unknown,QA,9,Python,66000.0,English,50-100,Startup,Unlimited contract,"[20,30)","[5,10)","[50000,100000)"
02/12/2019 13:53:04,,Male,Munich,Middle,Backend Developer,6,Java,61000.0,English,100-1000,Product,Unlimited contract,Unknown,"[5,10)","[50000,100000)"
02/12/2019 13:56:29,40.0,Male,Berlin,Senior,SRE,20,Multiple,70000.0,English,100-1000,Product,Unlimited contract,"[40,50)","[20,30)","[50000,100000)"
02/12/2019 13:59:02,33.0,Male,Leipzig,Senior,Mobile Developer,13,Kotlin,56000.0,English,100-1000,Consulting / Agency,Unlimited contract,"[30,40)","[10,20)","[50000,100000)"
02/12/2019 14:04:57,,Male,Berlin,Senior,Mobile Developer,7,Kotlin,68000.0,English,1000+,Product,Unlimited contract,Unknown,"[5,10)","[50000,100000)"
02/12/2019 14:11:51,37.0,Male,Berlin,Senior,Manager,14,Objective-C,80000.0,Other,100-1000,Product,Unlimited contract,"[30,40)","[10,20)","[50000,100000)"
02/12/2019 14:16:47,36.0,Male,Berlin,Senior,Software Engineer,11,Python,67000.0,German,100-1000,Consulting / Agency,Unlimited contract,"[30,40)","[10,20)","[50000,100000)"
02/12/2019 14:21:39,39.0,Male,Berlin,Senior,Backend Developer,16,Java,82000.0,English,100-1000,Startup,Unlimited contract,"[30,40)","[10,20)","[50000,100000)"
02/12/2019 14:23:35,27.0,Female,Berlin,Middle,Data Scientist,2,Python,58500.0,English,50-100,Startup,Unlimited contract,"[20,30)",<5,"[50000,100000)"
02/12/2019 14:25:37,46.0,Male,Berlin,Middle,System Administrator,7,"Microsoft, Vmware",45000.0,German,50-100,Consulting / Agency,Unlimited contract,"[40,50)","[5,10)","[20000,50000)"
02/12/2019 14:27:33,46.0,Male,Berlin,Junior,DevOps,0,Kubernetes,55000.0,German,50-100,Product,Unlimited contract,"[40,50)",<5,"[50000,100000)"
02/12/2019 14:29:11,31.0,Male,Berlin,Head,"CTO (CEO, CFO)",12,Java,210000.0,English,1000+,Product,Unlimited contract,"[30,40)","[10,20)",>=200000
02/12/2019 14:34:27,47.0,Male,Berlin,Senior,Embedded Developer,20,C/C++,65000.0,English,1000+,Other,Unlimited contract,"[40,50)","[20,30)","[50000,100000)"
02/12/2019 14:35:46,40.0,Male,Berlin,Senior,Software Architect,18,Not Relevant,94000.0,English,1000+,Product,Unlimited contract,"[40,50)","[10,20)","[50000,100000)"
02/12/2019 14:35:55,37.0,Male,Berlin,Senior,Frontend Developer,10,Javascript / Typescript,66000.0,English,100-1000,Product,Unlimited contract,"[30,40)","[10,20)","[50000,100000)"
02/12/2019 14:40:45,36.0,Male,Berlin,Middle,DevOps,10,AWS,65000.0,English,50-100,Product,Unlimited contract,"[30,40)","[10,20)","[50000,100000)"
02/12/2019 14:41:29,44.0,Male,Berlin,Senior,Data Engineer,25,Python,70000.0,English,100-1000,Product,Unlimited contract,"[40,50)","[20,30)","[50000,100000)"
02/12/2019 14:41:59,37.0,Female,Berlin,Middle,Backend Developer,10,C/C++,57000.0,English,100-1000,Product,Unlimited contract,"[30,40)","[10,20)","[50000,100000)"
02/12/2019 14:43:33,30.0,Female,Berlin,Middle,Backend Developer,4,Python,54000.0,English,50-100,Product,Unlimited contract,"[30,40)",<5,"[50000,100000)"
02/12/2019 14:44:36,33.0,Male,Berlin,Senior,QA,8,Javascript / Typescript,63000.0,English,1000+,Product,Unlimited contract,"[30,40)","[5,10)","[50000,100000)"
02/12/2019 14:46:50,35.0,Male,Munich,Head,Software Architect,15,Google Cloud,120000.0,German,100-1000,Consulting / Agency,Unlimited contract,"[30,40)","[10,20)","[100000,150000)"
02/12/2019 14:47:18,25.0,Male,Berlin,Middle,Business Analyst,4,Python,60000.0,English,100-1000,Product,Unlimited contract,"[20,30)",<5,"[50000,100000)"
02/12/2019 14:55:58,25.0,Male,Munich,Senior,Frontend Developer,4,Javascript / Typescript,74000.0,English,1000+,Product,Temporary contract,"[20,30)",<5,"[50000,100000)"
02/12/2019 15:08:55,32.0,Male,Berlin,Senior,Backend Developer,11,Python,70000.0,English,1000+,Product,Unlimited contract,"[30,40)","[10,20)","[50000,100000)"
02/12/2019 15:10:43,32.0,Male,Munich,Senior,DevOps,14,Google Cloud,92000.0,English,1000+,Product,Unlimited contract,"[30,40)","[10,20)","[50000,100000)"
02/12/2019 15:11:20,42.0,Male,Munich,Senior,Software Architect,20,Not Relevant,106000.0,German,100-1000,Product,Unlimited contract,"[40,50)","[20,30)","[100000,150000)"
02/12/2019 15:12:44,42.0,Female,Munich,Senior,Business Analyst,15,Not Relevant,71000.0,German,1000+,Other,Unlimited contract,"[40,50)","[10,20)","[50000,100000)"
02/12/2019 15:12:51,34.0,Female,Berlin,Senior,"Designer (UI, UX)",8,Not Relevant,52000.0,English,Unknown,Startup,Unlimited contract,"[30,40)","[5,10)","[50000,100000)"
02/12/2019 15:14:20,30.0,Male,Berlin,Middle,Backend Developer,10,Kotlin,70000.0,English,100-1000,Product,Unlimited contract,"[30,40)","[10,20)","[50000,100000)"
02/12/2019 15:15:03,45.0,Female,Munich,Junior,Frontend Developer,2,Java,36000.0,German,10-50,Consulting / Agency,Unlimited contract,"[40,50)",<5,"[20000,50000)"
02/12/2019 15:17:44,35.0,Male,Frankfurt,Middle,QA,9,Not Relevant,60500.0,English,100-1000,Other,Unlimited contract,"[30,40)","[5,10)","[50000,100000)"
02/12/2019 15:18:34,42.0,Male,Munich,Middle,Fullstack Developer,16,Java,64000.0,German,50-100,Consulting / Agency,Unlimited contract,"[40,50)","[10,20)","[50000,100000)"
02/12/2019 15:18:41,40.0,Male,Berlin,Senior,Backend Developer,18,Python,88000.0,English,1000+,Product,Unlimited contract,"[40,50)","[10,20)","[50000,100000)"
02/12/2019 15:19:47,34.0,Male,Munich,Senior,QA,12,Unknown,64000.0,German,1000+,Product,Unlimited contract,"[30,40)","[10,20)","[50000,100000)"
02/12/2019 15:20:58,30.0,Female,Munich,Senior,QA,6,Java,56000.0,German,50-100,Consulting / Agency,Unlimited contract,"[30,40)","[5,10)","[50000,100000)"
02/12/2019 15:22:56,,Male,Berlin,Middle,Backend Developer,13,Javascript / Typescript,73500.0,English,1000+,Product,Unlimited contract,Unknown,"[10,20)","[50000,100000)"
02/12/2019 15:24:45,32.0,Female,Berlin,Middle,Frontend Developer,12,Javascript / Typescript,59500.0,English,1000+,Product,Unlimited contract,"[30,40)","[10,20)","[50000,100000)"
02/12/2019 15:24:46,31.0,Male,Berlin,Senior,Fullstack Developer,10,Java,65000.0,English,up to 10,Startup,Unlimited contract,"[30,40)","[10,20)","[50000,100000)"
02/12/2019 15:25:09,30.0,Male,Berlin,Senior,Data Engineer,8,Python,81000.0,English,100-1000,Product,Unlimited contract,"[30,40)","[5,10)","[50000,100000)"
02/12/2019 15:26:28,45.0,Male,Munich,Senior,QA,12,Java,70000.0,German,100-1000,Product,Unlimited contract,"[40,50)","[10,20)","[50000,100000)"
02/12/2019 15:28:04,33.0,Male,Munich,Senior,Backend Developer,7,PHP,65000.0,English,50-100,Product,Unlimited contract,"[30,40)","[5,10)","[50000,100000)"
02/12/2019 15:29:03,38.0,Male,Berlin,Senior,Backend Developer,6,Java,66000.0,English,1000+,Product,Temporary contract,"[30,40)","[5,10)","[50000,100000)"
02/12/2019 15:33:10,29.0,Male,Munich,Senior,QA,6,Javascript / Typescript,60000.0,English,100-1000,Product,Unlimited contract,"[20,30)","[5,10)","[50000,100000)"
02/12/2019 15:33:43,33.0,Male,Berlin,Senior,Embedded Developer,9,C/C++,74000.0,English,100-1000,Product,Unlimited contract,"[30,40)","[5,10)","[50000,100000)"
02/12/2019 15:34:33,34.0,Male,Munich,Senior,Backend Developer,10,PHP,120000.0,English,up to 10,Consulting / Agency,Temporary contract,"[30,40)","[10,20)","[100000,150000)"
02/12/2019 15:40:21,33.0,Male,Berlin,Senior,Software Architect,12,Go,120000.0,English,100-1000,Product,Unlimited contract,"[30,40)","[10,20)","[100000,150000)"
02/12/2019 15:44:50,36.0,Male,Berlin,Senior,Fullstack Developer,15,Javascript / Typescript,70000.0,English,100-1000,Product,Unlimited contract,"[30,40)","[10,20)","[50000,100000)"
02/12/2019 15:43:54,31.0,Female,Munich,Junior,Fullstack Developer,4,Java,57000.0,German,100-1000,Product,Unlimited contract,"[30,40)",<5,"[50000,100000)"
02/12/2019 15:44:10,38.0,Male,Berlin,Senior,Manager,9,Not Relevant,120000.0,English,1000+,Product,Unlimited contract,"[30,40)","[5,10)","[100000,150000)"
02/12/2019 15:44:44,24.0,Female,Munich,Junior,Backend Developer,1,C/C++,72000.0,English,1000+,Product,Unlimited contract,"[20,30)",<5,"[50000,100000)"
02/12/2019 15:45:22,40.0,Male,Frankfurt,Senior,SAP Consultant,14,Not Relevant,175000.0,English,1000+,Product,Temporary contract,"[40,50)","[10,20)","[150000,200000)"
02/12/2019 15:49:42,37.0,Male,Munich,Senior,Fullstack Developer,11,PHP,67000.0,German,100-1000,Product,Temporary contract,"[30,40)","[10,20)","[50000,100000)"
02/12/2019 15:49:47,25.0,Male,Frankfurt,Senior,Backend Developer,6,Java,65000.0,English,100-1000,Product,Unlimited contract,"[20,30)","[5,10)","[50000,100000)"
